Thématique;Contenu;Contenu_texte
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a10"" when-iso=""2005-09-26T16:28"" who=""psn:cmr-wikiconflits-ip00488"" xml:id=""cmr-wiki-c001-a11"">
<p>L'intelligence, même dans son sens courant, ne possède pas de rapport direct avec le
            conformisme social ou le politiquement correcr. On a pu entendre mettre en cause la
            provocation d'un <ref target=""https://fr.wikipedia.org/wiki/Serge_gainsbourg"">Serge
              Gainsbourg</ref>, le cynisme en affaires d'un <ref target=""https://fr.wikipedia.org/wiki/Bill_gates"">Bill Gates</ref>, l'absence de sens
            moral du <hi rend=""italic"">professeur Moriarty</hi>; jamais n'ont été mis en cause pour
            autant leur intelligence, au contraire. </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:81.65.27.14"">81.65.27.14</ref> 26 septembre 2005 à 16:28 (CEST)</signed></post>";"
L'intelligence, même dans son sens courant, ne possède pas de rapport direct avec le
            conformisme social ou le politiquement correcr. On a pu entendre mettre en cause la
            provocation d'un Serge
              Gainsbourg, le cynisme en affaires d'un Bill Gates, l'absence de sens
            moral du professeur Moriarty; jamais n'ont été mis en cause pour
            autant leur intelligence, au contraire. 
81.65.27.14 26 septembre 2005 à 16:28 (CEST)"
Quotient intellectuel;"<post n=""2"" ref=""#cmr-wiki-c001-a11"" when-iso=""2005-09-26T20:42"" who=""psn:cmr-wikiconflits-ip00910"" xml:id=""cmr-wiki-c001-a12"">
<p>Je te dis que personne ne peut valider une thèse sur ce sujet de façon empirique, et
            toi tu me parles de politiquement correct, aucun rapport. --</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:84.101.175.97"">84.101.175.97</ref> 26 septembre 2005 à 20:42 (CEST)</signed></post>";"
Je te dis que personne ne peut valider une thèse sur ce sujet de façon empirique, et
            toi tu me parles de politiquement correct, aucun rapport. --
84.101.175.97 26 septembre 2005 à 20:42 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2005-09-11T05:12"" who=""psn:cmr-wikiconflits-ip00037"" xml:id=""cmr-wiki-c001-a13"">
<!-- #identification de l'utilisateur : remplacement de p_unknown par ""ip00037"" -->
<!-- #remplacement de when-custom=""unknown"" par when-iso=""2005-09-11T05:12"" -->
<p>La classification d'individus en ""surdoués"", ""moyens"", ""attardés"" à partir de ce genre
            de test n'a pas plus de valeur que les autres thèses passéistes associées.</p></post>";"


La classification d'individus en ""surdoués"", ""moyens"", ""attardés"" à partir de ce genre
            de test n'a pas plus de valeur que les autres thèses passéistes associées."
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a13"" when-iso=""2005-09-26T16:28"" who=""psn:cmr-wikiconflits-ip00488"" xml:id=""cmr-wiki-c001-a14"">
<p>Ici, tu n'es pas NPDV. La Wikipédia est là pour informer des lecteurs, et non pour
            permettre à ses rédacteurs d'exorciser leur préjugés par article interposé. </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:81.65.27.14"">81.65.27.14</ref> 26 septembre 2005 à 16:28 (CEST)</signed></post>";"
Ici, tu n'es pas NPDV. La Wikipédia est là pour informer des lecteurs, et non pour
            permettre à ses rédacteurs d'exorciser leur préjugés par article interposé. 
81.65.27.14 26 septembre 2005 à 16:28 (CEST)"
Quotient intellectuel;"<post n=""2"" ref=""#cmr-wiki-c001-a14"" when-iso=""2005-09-26T20:42"" who=""psn:cmr-wikiconflits-ip00910"" xml:id=""cmr-wiki-c001-a15"">
<p>Wiki est là pour informer de tous les aspects d'un sujet, c'est en donnant tous les
            points de vue que l'on obtient la neutralité, pas en exposant tes préjugés et en
            supprimant toute réflexion et mise en cause du sujet. Et je n'ai aucun préjugé, la
            classification grossière que j'ai donné juste au dessus est à peine exagérée du
            consensus sur les résultats de QI (plus policé certes) partagé par certains beni oui
            oui. --</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:84.101.175.97"">84.101.175.97</ref> 26 septembre 2005 à 20:42 (CEST)</signed></post>";"
Wiki est là pour informer de tous les aspects d'un sujet, c'est en donnant tous les
            points de vue que l'on obtient la neutralité, pas en exposant tes préjugés et en
            supprimant toute réflexion et mise en cause du sujet. Et je n'ai aucun préjugé, la
            classification grossière que j'ai donné juste au dessus est à peine exagérée du
            consensus sur les résultats de QI (plus policé certes) partagé par certains beni oui
            oui. --
84.101.175.97 26 septembre 2005 à 20:42 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2005-09-11T05:12"" who=""psn:cmr-wikiconflits-ip00037"" xml:id=""cmr-wiki-c001-a16"">
<!-- #identification de l'utilisateur : remplacement de p_unknown par ""ip00037"" -->
<!-- #remplacement de when-custom=""unknown"" par when-iso=""2005-09-11T05:12"" -->
<p>Et personne n'a le monopole de l'intelligence, cette classification est une invention
            civilisationnelle, totalement artificielle.</p></post>";"


Et personne n'a le monopole de l'intelligence, cette classification est une invention
            civilisationnelle, totalement artificielle."
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a16"" when-iso=""2005-09-26T16:28"" who=""psn:cmr-wikiconflits-ip00488"" xml:id=""cmr-wiki-c001-a17"">
<p>L'<ref target=""https://fr.wikipedia.org/wiki/Automobile"">automobile</ref> est également
            une création totalement artificielle, et tu peux constater que nous avons un article
            [[automobile]. </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:81.65.27.14"">81.65.27.14</ref> 26 septembre 2005 à 16:28 (CEST)</signed></post>";"L'automobile est également une création totalement artificielle, et tu peux constater que nous avons un article
            [[automobile]. 
81.65.27.14 26 septembre 2005 à 16:28 (CEST)"
Quotient intellectuel;"<post n=""2"" ref=""#cmr-wiki-c001-a17"" when-iso=""2005-09-26T20:42"" who=""psn:cmr-wikiconflits-ip00910"" xml:id=""cmr-wiki-c001-a18"">
<p>Comparer des thèses sur l'intelligence avec des automobiles, j'aurais pas osé. --</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:84.101.175.97"">84.101.175.97</ref> 26 septembre 2005 à 20:42 (CEST)</signed></post>";"
Comparer des thèses sur l'intelligence avec des automobiles, j'aurais pas osé. --
84.101.175.97 26 septembre 2005 à 20:42 (CEST)"
Quotient intellectuel;"<post n=""0"" when-iso=""2005-09-11T05:12"" who=""psn:cmr-wikiconflits-ip00037"" xml:id=""cmr-wiki-c001-a19"">
<!-- #identification de l'utilisateur : remplacement de p_unknown par ""ip00037"" -->
<!-- #remplacement de when-custom=""unknown"" par when-iso=""2005-09-11T05:12"" -->
<p><hi rend=""underline"">Le QI ne mesure pas l'intelligence mais l'adaptation à des
              fonctionnements logiques choisis arbitrairement</hi>, c'est la seule définition
            objective.</p>
</post>";"


Le QI ne mesure pas l'intelligence mais l'adaptation à des
              fonctionnements logiques choisis arbitrairement, c'est la seule définition
            objective.
"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a19"" when-iso=""2005-09-26T16:28"" who=""psn:cmr-wikiconflits-ip00488"" xml:id=""cmr-wiki-c001-a20"">
<p>Si l'on a choisi arbitrairement non seulement ce que mesure le QI, mais également les
            disciplines enseignées dans le cadre scolaire, c'est tout simplement en raison de leur
            intérêt général. Le degré celsius aussi est arbitraire, cela ne rend nullement nocif ou
            pernicieux l'usage d'un thermomètre. </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:81.65.27.14"">81.65.27.14</ref> 26 septembre 2005 à 16:28 (CEST)</signed></post>";"
Si l'on a choisi arbitrairement non seulement ce que mesure le QI, mais également les
            disciplines enseignées dans le cadre scolaire, c'est tout simplement en raison de leur
            intérêt général. Le degré celsius aussi est arbitraire, cela ne rend nullement nocif ou
            pernicieux l'usage d'un thermomètre. 
81.65.27.14 26 septembre 2005 à 16:28 (CEST)"
Quotient intellectuel;"<post n=""2"" ref=""#cmr-wiki-c001-a20"" when-iso=""2005-09-26T20:42"" who=""psn:cmr-wikiconflits-ip00910"" xml:id=""cmr-wiki-c001-a21"">
<p>On est d'accord, le QI ne doit donc pas être présenté comme mesure de l'intelligence
            mais bien comme un test aux critères prédéfinis sur des matières données, ce n'est
            pourtant pas ce que tu as fait sur cet article jusqu'à présent, contradictoire tout ça.
            --</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:84.101.175.97"">84.101.175.97</ref> 26 septembre 2005 à 20:42 (CEST)</signed></post>";"
On est d'accord, le QI ne doit donc pas être présenté comme mesure de l'intelligence
            mais bien comme un test aux critères prédéfinis sur des matières données, ce n'est
            pourtant pas ce que tu as fait sur cet article jusqu'à présent, contradictoire tout ça.
            --
84.101.175.97 26 septembre 2005 à 20:42 (CEST)"
Quotient intellectuel;"<post n=""0"" when-custom=""2005-09-11T05:12"" who=""psn:cmr-wikiconflits-ip00037"" xml:id=""cmr-wiki-c001-a22"">
<!-- #identification de l'utilisateur : remplacement de p_unknown par ""ip00037"" -->
<!-- #remplacement de when-custom=""unknown"" par when-iso=""2005-09-11T05:12"" -->
<p>Sinon, voilà le genre de raisonnement qui en découle: ""<hi rend=""italic"">Le classement
              des individus par «intelligence» supposée induit quasi systématiquement le classement
              des individus en «bons» et «inaptes», de façon plus ou moins nuancée et donc plus ou
              moins socialement acceptable. Or c'est là un détournement de la notion de QI : <hi rend=""bold"">un faible QI n'empêche en rien par exemple de devenir artisan de génie
                ou employé modèle..</hi>""</hi><lb/> -&gt;Les QI faibles (sous-entendu stupides) ne
            sont donc voués qu'à être de bons subalternes et de bons larbins, c'est bien ça ton
            raisonnement?</p></post>";"


Sinon, voilà le genre de raisonnement qui en découle: ""Le classement
              des individus par «intelligence» supposée induit quasi systématiquement le classement
              des individus en «bons» et «inaptes», de façon plus ou moins nuancée et donc plus ou
              moins socialement acceptable. Or c'est là un détournement de la notion de QI : un faible QI n'empêche en rien par exemple de devenir artisan de génie
                ou employé modèle.."" ->Les QI faibles (sous-entendu stupides) ne
            sont donc voués qu'à être de bons subalternes et de bons larbins, c'est bien ça ton
            raisonnement?"
Quotient intellectuel;"<post n=""1"" ref=""#cmr-wiki-c001-a22"" when-iso=""2005-09-26T16:28"" who=""psn:cmr-wikiconflits-ip00488"" xml:id=""cmr-wiki-c001-a23"">
<p>Ce point de vue n'engage que toi. Si tu as tel ou tel compte à régler ou bien tel ou
            tel complexe à éliminer, cela est parfaitement licite; je rappelle simplement que la
            Wikipédia ne constitue pas le lieu adéquat pour cela, non plus que pour quelque réaction
              <hi rend=""italic"">émotionnelle</hi> que ce soit. </p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:81.65.27.14"">81.65.27.14</ref> 26 septembre 2005 à 16:28 (CEST)</signed></post>";"
Ce point de vue n'engage que toi. Si tu as tel ou tel compte à régler ou bien tel ou
            tel complexe à éliminer, cela est parfaitement licite; je rappelle simplement que la
            Wikipédia ne constitue pas le lieu adéquat pour cela, non plus que pour quelque réaction
              émotionnelle que ce soit. 
81.65.27.14 26 septembre 2005 à 16:28 (CEST)"
Quotient intellectuel;"<post n=""2"" ref=""#cmr-wiki-c001-a23"" when-iso=""2005-09-26T20:42"" who=""psn:cmr-wikiconflits-ip00910"" xml:id=""cmr-wiki-c001-a24"">
<p>S'il te plaît, épargne moi ta rhétorique de comptoir, vouloir discréditer la personne
            avec qui on débat c'est une méthode bien minable. Je n'ai aucun complexe quant à mon
            intelligence, en revanche je me poserais des questions si je tenais des raisonnements
            aussi pauvres que ceux qui t'amènent à cantonner les ""QI faibles"" dans des taches ""<hi rend=""italic"">d'employés modèles</hi>"" (sic) ou autres subalternes. --</p>
<signed><ref target=""https://fr.wikipedia.org/wiki/Utilisateur:84.101.175.97"">84.101.175.97</ref> 26 septembre 2005 à 20:42 (CEST)</signed></post>";"
S'il te plaît, épargne moi ta rhétorique de comptoir, vouloir discréditer la personne
            avec qui on débat c'est une méthode bien minable. Je n'ai aucun complexe quant à mon
            intelligence, en revanche je me poserais des questions si je tenais des raisonnements
            aussi pauvres que ceux qui t'amènent à cantonner les ""QI faibles"" dans des taches ""d'employés modèles"" (sic) ou autres subalternes. --
84.101.175.97 26 septembre 2005 à 20:42 (CEST)"
